signal_date,CONVICTION_RAW,eligible_asset_count,source,recorded_at_utc
2024-05-03,0.25407785333546,36,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-05-10,0.2406780545166632,36,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-05-17,0.2474714384606733,43,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-05-24,0.2688794791177529,38,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-05-31,0.2629843841187582,32,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-06-07,0.2679588202091524,34,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-06-14,0.2621308929562039,35,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-06-21,0.2747654122083631,28,HISTORICAL_SEED,2026-07-17T08:49:08.868060+00:00
2024-06-28,0.2549347288549196,26,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-07-05,0.2562441540247841,37,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-07-12,0.263075985903264,40,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-07-19,0.2524455048066514,41,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-07-26,0.2471822165642257,41,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-08-02,0.2082675771548304,38,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-08-09,0.2234966347642708,31,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-08-16,0.2410624630901939,36,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-08-23,0.2326232434801007,38,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-08-30,0.2220497461011602,40,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-09-06,0.2098752463908477,28,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-09-13,0.1849262318459397,37,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-09-20,0.2019584721457235,39,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-09-27,0.212524508390601,36,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-10-04,0.2280645640562146,35,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-10-11,0.2229333844189404,37,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-10-18,0.2214274784328453,40,HISTORICAL_SEED,2026-07-17T08:49:08.869094+00:00
2024-10-25,0.2450964029968564,38,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-11-01,0.2582153920706814,37,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-11-08,0.2504208236851672,41,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-11-15,0.2324956126882006,34,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-11-22,0.2379110772374184,35,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-11-29,0.2462164089311517,38,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-12-06,0.2583781323162996,36,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-12-13,0.2665804458313041,30,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-12-20,0.2637456736605073,23,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2024-12-27,0.2529194614264666,21,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-01-03,0.2695086652316037,21,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-01-10,0.2661756791133089,19,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-01-17,0.2594692323239312,23,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-01-24,0.2762923244675298,27,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-01-31,0.2566350296852291,26,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-02-07,0.2464755394981036,30,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-02-14,0.2532189441360081,32,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-02-21,0.2699648619881669,31,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-02-28,0.2654857183855031,25,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-05-16,0.2607643143020383,13,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-05-23,0.2434236030155056,12,HISTORICAL_SEED,2026-07-17T08:49:08.870230+00:00
2025-05-30,0.2413395774974893,16,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-06-06,0.2522908374607898,25,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-06-13,0.2583909305991079,28,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-06-20,0.2642811094855587,24,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-06-27,0.2540934711154383,28,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-07-03,0.257647774061658,30,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-07-11,0.2597983076655665,42,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-07-18,0.2586249388097733,40,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-07-25,0.2538027263729385,41,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-08-01,0.2694532278834431,35,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-08-08,0.2704100297475413,38,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-08-15,0.2672296011417024,41,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-08-22,0.2701047076445749,43,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-08-29,0.2803300481529511,40,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-09-05,0.2672032928133233,42,HISTORICAL_SEED,2026-07-17T08:49:08.871267+00:00
2025-09-12,0.2619021222546738,42,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-09-19,0.2597744182248687,41,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-09-26,0.2630084442264493,42,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-03,0.2578073009093062,41,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-10,0.2678150559893139,30,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-17,0.2558765049886288,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-24,0.252197952524569,41,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-10-31,0.2714690416842176,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-07,0.2681182572396725,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-14,0.2585355061126814,38,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-21,0.2620916505608257,29,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-11-28,0.2557638091099289,35,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-05,0.2784169361826981,34,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-12,0.2767227951412259,29,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-19,0.2676955872934441,33,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2025-12-26,0.2717450609509959,35,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2026-01-02,0.2648544746088057,30,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2026-01-09,0.268965783311916,36,HISTORICAL_SEED,2026-07-17T08:49:08.872295+00:00
2026-01-16,0.2556767337847678,38,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-01-23,0.2505053715521297,35,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-01-30,0.2527482510867668,32,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-06,0.2547960133192066,35,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-13,0.2620533280462748,33,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-20,0.2514761391440709,38,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-02-27,0.2691260029122945,32,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-03-06,0.2671588525296581,27,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-03-13,0.2719568464219819,20,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-04-10,0.2547884608127174,26,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-04-17,0.2735537517099154,39,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-04-24,0.277585267603677,34,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-01,0.268384522841464,35,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-08,0.2643278330584386,29,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-15,0.2679004790340373,25,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-22,0.25239470490105,31,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-05-29,0.2615007966845735,25,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-06-05,0.2741650387811928,29,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-06-12,0.2777390626022225,32,HISTORICAL_SEED,2026-07-17T08:49:08.873541+00:00
2026-06-18,0.2819704035315443,32,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-06-26,0.2788753568289329,33,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-02,0.2759468669637268,32,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-10,0.2709613414502652,31,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-14,0.2623012436514343,31,HISTORICAL_SEED,2026-07-17T08:49:08.874574+00:00
2026-07-17,0.24891180792121,30,PROSPECTIVE,2026-07-18T09:14:07.595739+00:00
