ticker,strategy,sector,gross_dollar_contribution,cost_dollar_contribution,net_dollar_contribution,pct_of_total_net_pnl,average_weight,max_weight,holding_periods
AAPL,S1_MOMENTUM_12_1,TECH,343.064,34.1563,308.9077,1.3717,0.043085,0.1,512
AMD,S1_MOMENTUM_12_1,TECH,3212.2191,57.2304,3154.9887,14.0098,0.051923,0.2,1334
AMZN,S1_MOMENTUM_12_1,TECH,505.1875,15.1019,490.0856,2.1762,0.046302,0.1,658
AVGO,S1_MOMENTUM_12_1,TECH,3418.5538,99.8281,3318.7257,14.7368,0.060658,0.25,1188
BAC,S1_MOMENTUM_12_1,FIN,813.3209,81.1247,732.1962,3.2513,0.150774,0.25,409
COST,S1_MOMENTUM_12_1,STAPLES,-27.8276,174.4932,-202.3208,-0.8984,0.163342,0.25,371
CVX,S1_MOMENTUM_12_1,ENERGY,516.9346,33.5484,483.3862,2.1465,0.11041,0.25,301
GOOGL,S1_MOMENTUM_12_1,TECH,1161.6919,32.6705,1129.0213,5.0134,0.067005,0.25,436
JPM,S1_MOMENTUM_12_1,FIN,119.6894,138.4588,-18.7693,-0.0833,0.154202,0.25,353
LLY,S1_MOMENTUM_12_1,HEALTH,4512.5118,183.1431,4329.3687,19.2246,0.16591,0.25,837
META,S1_MOMENTUM_12_1,TECH,1550.6314,52.192,1498.4394,6.6538,0.053263,0.1,670
MSFT,S1_MOMENTUM_12_1,TECH,582.5042,27.378,555.1263,2.465,0.055077,0.1,551
NVDA,S1_MOMENTUM_12_1,TECH,3900.5513,112.8404,3787.7108,16.8194,0.060648,0.25,1923
SHY,S1_MOMENTUM_12_1,DEFENSIVE_ETF,2376.2555,602.0592,1774.1963,7.8783,0.680432,0.857143,2560
UNH,S1_MOMENTUM_12_1,HEALTH,319.3473,76.1657,243.1815,1.0798,0.126898,0.25,303
WMT,S1_MOMENTUM_12_1,STAPLES,303.1696,102.0538,201.1158,0.8931,0.159008,0.2,346
XOM,S1_MOMENTUM_12_1,ENERGY,817.639,83.0612,734.5779,3.2619,0.133611,0.25,360
AAPL,S2_MOMENTUM_TREND,TECH,370.7328,119.8427,250.8902,0.9623,0.064916,0.25,674
AMD,S2_MOMENTUM_TREND,TECH,6883.2207,139.9665,6743.2542,25.8652,0.065463,0.25,1222
AMZN,S2_MOMENTUM_TREND,TECH,1188.0089,85.8928,1102.1161,4.2274,0.067423,0.2,580
AVGO,S2_MOMENTUM_TREND,TECH,666.6904,182.956,483.7343,1.8555,0.066205,0.25,837
BAC,S2_MOMENTUM_TREND,FIN,1115.0901,200.8009,914.2892,3.5069,0.148132,0.25,473
COST,S2_MOMENTUM_TREND,STAPLES,-818.0975,298.7722,-1116.8697,-4.284,0.153802,0.25,469
CVX,S2_MOMENTUM_TREND,ENERGY,-142.0011,156.9493,-298.9504,-1.1467,0.121926,0.25,507
GOOGL,S2_MOMENTUM_TREND,TECH,693.0273,119.8573,573.17,2.1985,0.079431,0.25,482
JPM,S2_MOMENTUM_TREND,FIN,1942.0425,191.6344,1750.4081,6.7141,0.145301,0.25,415
LLY,S2_MOMENTUM_TREND,HEALTH,2525.8306,285.6989,2240.1317,8.5925,0.162171,0.25,823
META,S2_MOMENTUM_TREND,TECH,80.1356,113.3868,-33.2512,-0.1275,0.05885,0.25,650
MSFT,S2_MOMENTUM_TREND,TECH,1276.5312,78.9794,1197.5518,4.5935,0.069147,0.2,345
NVDA,S2_MOMENTUM_TREND,TECH,7544.6188,125.9545,7418.6642,28.4558,0.062479,0.25,1344
SHY,S2_MOMENTUM_TREND,DEFENSIVE_ETF,2498.6036,1086.5646,1412.0389,5.4162,0.61954,0.857143,2552
UNH,S2_MOMENTUM_TREND,HEALTH,-1187.0216,248.1391,-1435.1607,-5.5049,0.151003,0.25,532
WMT,S2_MOMENTUM_TREND,STAPLES,2285.9669,353.7384,1932.2284,7.4115,0.168722,0.25,592
XOM,S2_MOMENTUM_TREND,ENERGY,3190.2921,253.7319,2936.5602,11.2638,0.135765,0.25,562
AAPL,S3_LOW_VOL_MOMENTUM,TECH,661.9415,60.2017,601.7398,2.3274,0.05434,0.2,534
AMD,S3_LOW_VOL_MOMENTUM,TECH,8888.4199,109.2111,8779.2088,33.9567,0.062491,0.2,1448
AMZN,S3_LOW_VOL_MOMENTUM,TECH,-101.3205,74.1575,-175.478,-0.6787,0.055737,0.2,476
AVGO,S3_LOW_VOL_MOMENTUM,TECH,2004.608,175.6927,1828.9153,7.074,0.069274,0.25,1008
BAC,S3_LOW_VOL_MOMENTUM,FIN,-684.129,132.9481,-817.0772,-3.1603,0.129634,0.25,401
COST,S3_LOW_VOL_MOMENTUM,STAPLES,1551.9631,205.2526,1346.7105,5.2089,0.155,0.25,410
CVX,S3_LOW_VOL_MOMENTUM,ENERGY,-317.4744,95.742,-413.2165,-1.5983,0.111825,0.25,420
GOOGL,S3_LOW_VOL_MOMENTUM,TECH,1861.705,79.8419,1781.8631,6.892,0.082689,0.25,281
JPM,S3_LOW_VOL_MOMENTUM,FIN,2033.5567,168.1904,1865.3664,7.215,0.138697,0.25,463
LLY,S3_LOW_VOL_MOMENTUM,HEALTH,2340.1787,238.0648,2102.1138,8.1307,0.166005,0.25,831
META,S3_LOW_VOL_MOMENTUM,TECH,1070.6302,93.6069,977.0233,3.779,0.054004,0.2,719
MSFT,S3_LOW_VOL_MOMENTUM,TECH,662.9002,58.0959,604.8044,2.3393,0.054797,0.2,520
NVDA,S3_LOW_VOL_MOMENTUM,TECH,5300.4655,122.8702,5177.5953,20.0262,0.060982,0.25,1588
SHY,S3_LOW_VOL_MOMENTUM,DEFENSIVE_ETF,2535.735,820.6296,1715.1053,6.6338,0.638932,0.857143,2585
UNH,S3_LOW_VOL_MOMENTUM,HEALTH,-2519.7623,189.6548,-2709.4171,-10.4796,0.145833,0.25,388
WMT,S3_LOW_VOL_MOMENTUM,STAPLES,1375.426,191.8963,1183.5297,4.5777,0.173182,0.25,550
XOM,S3_LOW_VOL_MOMENTUM,ENERGY,2099.1425,93.7852,2005.3573,7.7564,0.12932,0.25,515
AAPL,S4_CORRECTED_COMPOSITE,TECH,5.7016,52.0315,-46.3299,-0.1823,0.053906,0.25,445
AMD,S4_CORRECTED_COMPOSITE,TECH,7327.0246,131.3471,7195.6775,28.3104,0.059792,0.25,1268
AMZN,S4_CORRECTED_COMPOSITE,TECH,698.7885,46.9506,651.8379,2.5646,0.051762,0.1,599
AVGO,S4_CORRECTED_COMPOSITE,TECH,2337.1856,182.385,2154.8006,8.4778,0.066834,0.25,1161
BAC,S4_CORRECTED_COMPOSITE,FIN,408.785,154.3442,254.4408,1.0011,0.152793,0.25,364
COST,S4_CORRECTED_COMPOSITE,STAPLES,1151.3503,224.9569,926.3934,3.6448,0.160137,0.25,536
CVX,S4_CORRECTED_COMPOSITE,ENERGY,-56.5387,72.9706,-129.5093,-0.5095,0.113528,0.25,308
GOOGL,S4_CORRECTED_COMPOSITE,TECH,616.6172,93.0171,523.6001,2.06,0.079607,0.25,459
JPM,S4_CORRECTED_COMPOSITE,FIN,1381.6996,207.2159,1174.4837,4.6208,0.162656,0.25,428
LLY,S4_CORRECTED_COMPOSITE,HEALTH,2905.7433,214.4515,2691.2918,10.5885,0.16528,0.25,781
META,S4_CORRECTED_COMPOSITE,TECH,1226.6904,67.315,1159.3754,4.5614,0.052882,0.1,667
MSFT,S4_CORRECTED_COMPOSITE,TECH,720.9129,74.7069,646.206,2.5424,0.061697,0.2,581
NVDA,S4_CORRECTED_COMPOSITE,TECH,6214.6294,129.3492,6085.2802,23.9417,0.058072,0.2,1586
SHY,S4_CORRECTED_COMPOSITE,DEFENSIVE_ETF,2461.3108,804.911,1656.3998,6.5169,0.632382,0.857143,2609
UNH,S4_CORRECTED_COMPOSITE,HEALTH,-1100.9463,162.435,-1263.3813,-4.9706,0.145955,0.25,412
WMT,S4_CORRECTED_COMPOSITE,STAPLES,896.5618,193.2384,703.3234,2.7671,0.159848,0.25,484
XOM,S4_CORRECTED_COMPOSITE,ENERGY,1172.0845,138.8688,1033.2157,4.065,0.142354,0.25,473
AAPL,S5_XGBRANKER,TECH,841.1931,64.5132,776.6799,2.8616,0.053752,0.2,456
AMD,S5_XGBRANKER,TECH,3194.9884,222.521,2972.4674,10.9518,0.064854,0.25,1680
AMZN,S5_XGBRANKER,TECH,826.9483,71.7771,755.1712,2.7824,0.060136,0.25,598
AVGO,S5_XGBRANKER,TECH,1409.0901,204.2852,1204.8049,4.439,0.068096,0.25,911
BAC,S5_XGBRANKER,FIN,2279.2257,440.3186,1838.9071,6.7753,0.188346,0.25,1064
COST,S5_XGBRANKER,STAPLES,201.4886,30.293,171.1956,0.6308,0.193043,0.2,115
CVX,S5_XGBRANKER,ENERGY,-21.1375,127.8709,-149.0084,-0.549,0.154425,0.25,113
GOOGL,S5_XGBRANKER,TECH,595.5042,74.2656,521.2386,1.9205,0.06162,0.25,248
JPM,S5_XGBRANKER,FIN,915.6604,66.5896,849.0708,3.1283,0.166892,0.25,74
LLY,S5_XGBRANKER,HEALTH,1584.9538,211.5329,1373.4209,5.0603,0.168826,0.25,301
META,S5_XGBRANKER,TECH,213.6544,160.9971,52.6573,0.194,0.077951,0.25,567
MSFT,S5_XGBRANKER,TECH,-353.1118,49.759,-402.8707,-1.4843,0.069122,0.1,193
NVDA,S5_XGBRANKER,TECH,9365.631,252.565,9113.066,33.5764,0.074738,0.25,2250
SHY,S5_XGBRANKER,DEFENSIVE_ETF,2699.6465,1041.9786,1657.6679,6.1076,0.59738,0.857143,2505
UNH,S5_XGBRANKER,HEALTH,339.0956,186.296,152.7996,0.563,0.161361,0.25,333
WMT,S5_XGBRANKER,STAPLES,3538.615,368.6381,3169.9769,11.6795,0.191128,0.25,1037
XOM,S5_XGBRANKER,ENERGY,3331.2421,247.2005,3084.0417,11.3629,0.18622,0.25,612
AAPL,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,861.4282,157.348,704.0801,0.7813,0.1,0.1,433
AMD,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,15358.2046,147.2738,15210.9308,16.8783,0.1,0.1,1035
AMZN,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,-1184.3962,78.1492,-1262.5454,-1.4009,0.1,0.1,305
AVGO,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,6639.6617,255.5235,6384.1382,7.0839,0.1,0.1,910
BAC,S7_SECTOR_NEUTRAL_COMPOSITE,FIN,734.6525,671.9263,62.7262,0.0696,0.2,0.2,1160
COST,S7_SECTOR_NEUTRAL_COMPOSITE,STAPLES,8562.6721,487.852,8074.8201,8.96,0.2,0.2,1392
CVX,S7_SECTOR_NEUTRAL_COMPOSITE,ENERGY,1150.7351,406.9776,743.7575,0.8253,0.2,0.2,1340
GOOGL,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,2937.0781,86.1892,2850.8889,3.1634,0.1,0.1,354
JPM,S7_SECTOR_NEUTRAL_COMPOSITE,FIN,15273.3568,671.9263,14601.4305,16.202,0.2,0.2,1478
LLY,S7_SECTOR_NEUTRAL_COMPOSITE,HEALTH,9235.2342,363.375,8871.8592,9.8444,0.2,0.2,1599
META,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,219.8266,212.772,7.0545,0.0078,0.1,0.1,431
MSFT,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,514.6085,123.6011,391.0074,0.4339,0.1,0.1,332
NVDA,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,15650.6276,212.7134,15437.9142,17.1302,0.1,0.1,1476
UNH,S7_SECTOR_NEUTRAL_COMPOSITE,HEALTH,2479.5601,363.375,2116.1851,2.3482,0.2,0.2,1039
WMT,S7_SECTOR_NEUTRAL_COMPOSITE,STAPLES,7904.4768,487.852,7416.6249,8.2296,0.2,0.2,1246
XOM,S7_SECTOR_NEUTRAL_COMPOSITE,ENERGY,8917.2771,406.9776,8510.2994,9.4432,0.2,0.2,1298
AAPL,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,-1283.9822,123.1823,-1407.1645,-1.1391,0.1,0.1,336
AMD,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,15879.8051,82.9452,15796.8599,12.7878,0.1,0.1,1181
AMZN,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,655.0497,13.7872,641.2625,0.5191,0.1,0.1,352
AVGO,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,9022.2159,263.4677,8758.7482,7.0904,0.1,0.1,830
BAC,S8_SECTOR_NEUTRAL_MOMENTUM,FIN,2639.8173,445.307,2194.5103,1.7765,0.2,0.2,1029
COST,S8_SECTOR_NEUTRAL_MOMENTUM,STAPLES,13400.2301,188.8868,13211.3433,10.6948,0.2,0.2,1517
CVX,S8_SECTOR_NEUTRAL_MOMENTUM,ENERGY,1694.1582,304.8648,1389.2935,1.1247,0.2,0.2,1315
GOOGL,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,4106.9827,130.8512,3976.1315,3.2187,0.1,0.1,302
JPM,S8_SECTOR_NEUTRAL_MOMENTUM,FIN,16340.8905,445.307,15895.5835,12.8677,0.2,0.2,1609
LLY,S8_SECTOR_NEUTRAL_MOMENTUM,HEALTH,22943.9665,336.9697,22606.9968,18.3007,0.2,0.2,1717
META,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,5341.1868,196.3834,5144.8033,4.1648,0.1,0.1,372
MSFT,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,961.7557,36.1198,925.6359,0.7493,0.1,0.1,161
NVDA,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,18696.7968,151.5994,18545.1974,15.0127,0.1,0.1,1742
UNH,S8_SECTOR_NEUTRAL_MOMENTUM,HEALTH,1563.9419,336.9697,1226.9722,0.9933,0.2,0.2,921
WMT,S8_SECTOR_NEUTRAL_MOMENTUM,STAPLES,6079.7622,188.8868,5890.8754,4.7688,0.2,0.2,1121
XOM,S8_SECTOR_NEUTRAL_MOMENTUM,ENERGY,9038.259,304.8648,8733.3942,7.0698,0.2,0.2,1323
AAPL,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,203.7077,64.0431,139.6646,0.47,0.049593,0.2,560
AMD,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,7077.1423,155.6868,6921.4554,23.2945,0.056036,0.25,1515
AMZN,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,-253.9505,76.0891,-330.0396,-1.1108,0.060409,0.25,704
AVGO,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,4605.0234,233.2941,4371.7293,14.7133,0.062854,0.25,1426
BAC,S6_ENSEMBLE_COMPOSITE_RANKER,FIN,1310.9977,383.246,927.7517,3.1224,0.189194,0.25,856
COST,S6_ENSEMBLE_COMPOSITE_RANKER,STAPLES,-91.4376,77.751,-169.1886,-0.5694,0.101541,0.2,119
CVX,S6_ENSEMBLE_COMPOSITE_RANKER,ENERGY,382.6276,66.9308,315.6968,1.0625,0.103266,0.2,199
GOOGL,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,852.0886,81.7306,770.3579,2.5927,0.068,0.2,347
JPM,S6_ENSEMBLE_COMPOSITE_RANKER,FIN,359.6005,98.7687,260.8319,0.8778,0.164881,0.25,84
LLY,S6_ENSEMBLE_COMPOSITE_RANKER,HEALTH,2536.0515,309.7188,2226.3327,7.4928,0.189031,0.25,547
META,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,1374.8158,124.1521,1250.6638,4.2092,0.058622,0.25,558
MSFT,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,79.9608,21.5238,58.437,0.1967,0.052996,0.1,160
NVDA,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,6269.0469,212.4679,6056.579,20.3837,0.068647,0.25,2046
SHY,S6_ENSEMBLE_COMPOSITE_RANKER,DEFENSIVE_ETF,2360.5523,1073.5539,1286.9985,4.3315,0.641979,0.857143,2526
UNH,S6_ENSEMBLE_COMPOSITE_RANKER,HEALTH,356.4027,65.3735,291.0292,0.9795,0.193192,0.25,71
WMT,S6_ENSEMBLE_COMPOSITE_RANKER,STAPLES,2487.7669,299.203,2188.5639,7.3657,0.182482,0.25,822
XOM,S6_ENSEMBLE_COMPOSITE_RANKER,ENERGY,3345.8577,199.8666,3145.9911,10.588,0.16868,0.25,538
