sector,gross_dollar_contribution,cost_dollar_contribution,net_dollar_contribution,average_portfolio_weight,max_portfolio_weight,pct_of_total_net_pnl,strategy
DEFENSIVE_ETF,2376.2555,602.0592,1774.1963,0.680432,0.857143,7.8783356330732355,S1_MOMENTUM_12_1
ENERGY,1334.5736000000002,116.6096,1217.9641,0.1220105,0.25,5.408381230889712,S1_MOMENTUM_12_1
FIN,933.0103,219.58350000000002,713.4268999999999,0.152488,0.25,3.1679789704572006,S1_MOMENTUM_12_1
HEALTH,4831.859100000001,259.3088,4572.5502,0.146404,0.25,20.30445288082054,S1_MOMENTUM_12_1
STAPLES,275.342,276.547,-1.204999999999984,0.161175,0.25,-0.005350814020891106,S1_MOMENTUM_12_1
TECH,14674.4032,431.3976,14243.0055,0.054745125,0.25,63.246202098780195,S1_MOMENTUM_12_1
DEFENSIVE_ETF,2498.6036,1086.5646,1412.0389,0.61954,0.857143,5.41616909700906,S2_MOMENTUM_TREND
ENERGY,3048.291,410.6812,2637.6097999999997,0.1288455,0.25,10.117101369323638,S2_MOMENTUM_TREND
FIN,3057.1326,392.4353,2664.6973000000003,0.14671650000000003,0.25,10.221001113456209,S2_MOMENTUM_TREND
HEALTH,1338.8089999999997,533.838,804.971,0.156587,0.25,3.087633813904475,S2_MOMENTUM_TREND
STAPLES,1467.8694,652.5106000000001,815.3587,0.16126200000000002,0.25,3.127477999308291,S2_MOMENTUM_TREND
TECH,18702.9657,966.8359999999999,17736.1296,0.06673925,0.25,68.03061660699832,S2_MOMENTUM_TREND
DEFENSIVE_ETF,2535.735,820.6296,1715.1053,0.638932,0.857143,6.63377324243438,S3_LOW_VOL_MOMENTUM
ENERGY,1781.6680999999999,189.5272,1592.1408,0.1205725,0.25,6.158164771124004,S3_LOW_VOL_MOMENTUM
FIN,1349.4277000000002,301.1385,1048.2892000000002,0.1341655,0.25,4.054627342876815,S3_LOW_VOL_MOMENTUM
HEALTH,-179.58359999999993,427.7196,-607.3033,0.155919,0.25,-2.348959204768418,S3_LOW_VOL_MOMENTUM
STAPLES,2927.3891,397.1489,2530.2402,0.164091,0.25,9.786594289978472,S3_LOW_VOL_MOMENTUM
TECH,20349.349800000004,773.6779,19575.672,0.061789250000000004,0.25,75.71579955835475,S3_LOW_VOL_MOMENTUM
DEFENSIVE_ETF,2461.3108,804.911,1656.3998,0.632382,0.857143,6.516870225248068,S4_CORRECTED_COMPOSITE
ENERGY,1115.5457999999999,211.8394,903.7064,0.127941,0.25,3.5555047341385344,S4_CORRECTED_COMPOSITE
FIN,1790.4846,361.56010000000003,1428.9245,0.1577245,0.25,5.621900901085284,S4_CORRECTED_COMPOSITE
HEALTH,1804.797,376.8865,1427.9105,0.15561750000000002,0.25,5.617911461815608,S4_CORRECTED_COMPOSITE
STAPLES,2047.9121,418.1953,1629.7168000000001,0.15999249999999998,0.25,6.41188974395346,S4_CORRECTED_COMPOSITE
TECH,19147.550199999998,777.1024,18370.4478,0.060569,0.25,72.27592293375905,S4_CORRECTED_COMPOSITE
DEFENSIVE_ETF,2699.6465,1041.9786,1657.6679,0.59738,0.857143,6.107550899567336,S5_XGBRANKER
ENERGY,3310.1046,375.07140000000004,2935.0333,0.1703225,0.25,10.813906254488664,S5_XGBRANKER
FIN,3194.8860999999997,506.9082,2687.9779,0.17761900000000003,0.25,9.903649483205967,S5_XGBRANKER
HEALTH,1924.0493999999999,397.8289,1526.2205000000001,0.1650935,0.25,5.62324298353917,S5_XGBRANKER
STAPLES,3740.1036,398.9311,3341.1725,0.1920855,0.25,12.310295148976854,S5_XGBRANKER
TECH,16093.8977,1100.6832,14993.214600000001,0.066283625,0.25,55.24135523022201,S5_XGBRANKER
ENERGY,10068.0122,813.9552,9254.0569,0.2,0.2,10.268460491252645,S7_SECTOR_NEUTRAL_COMPOSITE
FIN,16008.0093,1343.8526,14664.1567,0.2,0.2,16.27160015749285,S7_SECTOR_NEUTRAL_COMPOSITE
HEALTH,11714.794300000001,726.75,10988.044300000001,0.2,0.2,12.192522694633945,S7_SECTOR_NEUTRAL_COMPOSITE
STAPLES,16467.1489,975.704,15491.445,0.2,0.2,17.189573465332092,S7_SECTOR_NEUTRAL_COMPOSITE
TECH,40997.039099999995,1273.5702,39723.4687,0.1,0.1,44.077843191288466,S7_SECTOR_NEUTRAL_COMPOSITE
ENERGY,10732.4172,609.7296,10122.6877,0.2,0.2,8.194488274620731,S8_SECTOR_NEUTRAL_MOMENTUM
FIN,18980.7078,890.614,18090.093800000002,0.2,0.2,14.644239348694835,S8_SECTOR_NEUTRAL_MOMENTUM
HEALTH,24507.9084,673.9394,23833.969,0.2,0.2,19.29400425029155,S8_SECTOR_NEUTRAL_MOMENTUM
STAPLES,19479.9923,377.7736,19102.2187,0.2,0.2,15.463571710939071,S8_SECTOR_NEUTRAL_MOMENTUM
TECH,53379.8105,998.3362,52381.4742,0.1,0.1,42.40369641545381,S8_SECTOR_NEUTRAL_MOMENTUM
DEFENSIVE_ETF,2360.5523,1073.5539,1286.9985,0.641979,0.857143,4.331453565555428,S6_ENSEMBLE_COMPOSITE_RANKER
ENERGY,3728.4853,266.79740000000004,3461.6879000000004,0.135973,0.25,11.650472317796085,S6_ENSEMBLE_COMPOSITE_RANKER
FIN,1670.5982,482.01469999999995,1188.5836,0.17703750000000001,0.25,4.000233622790319,S6_ENSEMBLE_COMPOSITE_RANKER
HEALTH,2892.4542,375.0923,2517.3619,0.1911115,0.25,8.472299056718704,S6_ENSEMBLE_COMPOSITE_RANKER
STAPLES,2396.3293,376.95399999999995,2019.3753000000002,0.1420115,0.25,6.796301894197673,S6_ENSEMBLE_COMPOSITE_RANKER
TECH,20207.835,968.9875,19238.8474,0.059644625,0.25,64.7492395429418,S6_ENSEMBLE_COMPOSITE_RANKER
